Ano,Dia,Velocidade do vento (m/s),Ponto de orvalho (°C),Temperatura mín.  (°C),Irradiância solar (W/m²),Umidade relativa (%),Velocidade máx. do vento (m/s),Velocidade mín. do vento (m/s),Pressão atmosférica (kPa),Time lag
2023,283,2.25,14.08,26.07,407.53,34.0,4.62,0.31,94.21,2.48
2023,284,3.1,12.08,24.07,379.62,33.62,05.01,1.76,94.22,1.84
2023,285,1.89,10.26,21.27,374.02,31.12,4.12,0.81,94.17,02.05
2023,286,2.22,10.85,22.48,378.27,30.69,4.66,0.97,94.16,2.28
2023,287,2.73,11.85,23.43,408.32,31.25,4.62,01.09,94.23,2.84
2023,288,3.42,12.08,23.68,373.08,33.81,5.36,1.7,94.41,1.76
2023,289,3.38,9.98,23.28,365.06,33.0,4.89,1.5,94.34,2.25
2023,290,2.92,9.11,22.61,371.05,32.44,4.7,1.35,94.3,3.1
2023,291,2.78,9.3,21.75,375.76,30.44,4.62,1.32,94.25,1.89
2023,292,2.77,9.48,21.67,380.4,28.81,4.7,1.52,94.22,2.22
2023,293,2.62,10.4,22.27,409.68,30.19,5.26,0.9,94.27,2.73
2023,294,03.05,13.26,24.76,409.64,33.75,5.26,1.36,94.2,3.42
2023,295,2.68,14.92,25.03,427.09,38.5,4.97,1.0,94.16,3.38
2023,296,2.86,13.96,25.04,414.45,35.25,5.18,0.94,94.18,2.92
2023,297,1.56,16.01,25.44,410.16,40.06,3.52,0.46,94.08,2.78
2023,298,1.69,19.01,24.11,414.95,54.56,2.77,0.68,94.02,2.77
2023,299,01.02,19.7,24.23,413.1,58.62,1.55,0.45,93.9,2.62
2023,300,1.52,19.67,23.87,420.95,56.94,2.89,0.45,94.0,03.05
2023,301,2.2,18.23,24.83,423.62,49.75,04.09,0.45,94.0,2.68
2023,302,2.58,15.52,25.9,381.72,39.75,4.36,01.09,94.03,2.86
2023,303,2.29,12.83,21.8,389.65,37.69,4.56,0.83,94.03,1.56
2023,304,1.48,17.15,26.64,417.46,46.5,2.92,0.45,94.01,1.69
2023,305,02.03,19.18,23.79,432.53,58.31,3.66,0.73,94.0,01.02
2023,306,1.68,20.49,23.58,446.34,66.94,3.12,0.69,94.04,1.52
2023,307,1.73,20.56,22.83,441.27,68.88,2.47,0.87,94.12,2.2
2023,308,1.16,20.24,23.27,445.18,62.81,1.88,0.53,94.06,2.58
2023,309,0.77,21.65,24.17,443.56,70.81,1.34,0.29,94.03,2.29
2023,310,02.09,22.21,23.33,435.49,80.44,3.93,0.68,94.2,1.48
