Ano,Dia,Velocidade do vento (m/s),Ponto de orvalho (°C),Temperatura mín.  (°C),Irradiância solar (W/m²),Umidade relativa (%),Velocidade máx. do vento (m/s),Velocidade mín. do vento (m/s),Pressão atmosférica (kPa),Time lag
2023,156,2.46,11.05,15.65,324.62,52.88,4.1,1.39,94.73,2.84
2023,157,2.34,11.68,15.19,331.57,52.44,3.98,1.17,94.64,2.4
2023,158,2.65,14.26,16.9,351.27,58.88,4.43,1.45,94.7,02.09
2023,159,03.04,14.68,18.29,360.36,59.0,4.52,1.81,94.72,2.41
2023,160,2.83,16.39,19.08,369.91,61.0,04.09,1.71,94.65,2.92
2023,161,2.3,17.12,19.88,384.36,66.31,4.37,0.73,94.65,2.65
2023,162,2.29,15.56,18.8,369.12,58.19,3.58,1.3,94.58,2.46
2023,163,2.33,14.67,18.56,349.88,56.06,3.7,1.19,94.58,2.34
2023,164,2.31,13.84,18.27,347.65,53.88,3.48,1.18,94.61,2.65
2023,165,2.42,14.07,17.9,352.22,54.62,04.07,1.3,94.56,03.04
2023,166,2.45,14.37,17.64,363.84,56.19,4.1,1.32,94.56,2.83
2023,167,2.27,16.14,18.69,375.3,61.75,3.64,1.21,94.6,2.3
2023,168,2.26,15.84,19.08,361.34,59.06,3.18,1.44,94.6,2.29
2023,169,03.02,15.11,19.03,358.45,56.31,4.8,1.87,94.58,2.33
2023,170,2.71,15.21,18.06,356.98,60.5,4.52,1.18,94.71,2.31
2023,171,2.97,14.52,17.64,354.18,59.88,05.09,1.46,94.77,2.42
2023,172,2.79,14.89,18.16,360.19,60.75,3.99,1.93,94.7,2.45
2023,173,2.84,14.55,17.64,337.82,61.5,4.31,1.41,94.65,2.27
2023,174,2.46,12.98,16.01,324.44,59.25,4.38,1.41,94.65,2.26
2023,175,2.28,12.52,15.14,337.57,57.81,3.62,1.16,94.66,03.02
2023,176,2.55,13.86,16.68,345.53,61.0,4.25,1.26,94.69,2.71
2023,177,2.64,13.25,16.65,343.71,60.75,4.75,1.1,94.66,2.97
2023,178,3.3,14.65,19.04,358.72,60.06,4.68,1.81,94.67,2.79
2023,179,2.49,13.94,16.51,339.73,60.94,4.13,1.68,94.68,2.84
2023,180,2.28,11.89,15.85,353.05,51.5,3.45,1.51,94.7,2.46
2023,181,2.94,14.57,18.4,362.7,59.31,4.25,1.62,94.73,2.28
2023,182,2.73,14.24,17.6,353.12,60.88,04.02,1.63,94.66,2.55
2023,183,1.52,11.98,15.55,335.72,54.0,3.12,0.75,94.51,2.64
2023,184,02.03,11.74,16.62,330.74,52.38,3.1,1.1,94.53,3.3
2023,185,2.88,10.44,16.34,330.94,48.25,4.36,1.51,94.67,2.49
2023,186,03.08,11.21,14.55,315.73,56.19,4.69,02.05,94.78,2.28
2023,187,2.5,11.19,14.12,324.43,56.88,4.73,1.27,94.71,2.94
2023,188,1.91,12.48,14.89,332.4,57.19,3.55,0.84,94.59,2.73
2023,189,1.64,14.55,16.9,336.8,58.56,3.77,0.51,94.5,1.52
2023,190,1.73,14.04,18.84,350.62,52.19,3.3,0.91,94.53,02.03
2023,191,2.38,13.2,18.37,351.71,48.94,4.44,0.84,94.53,2.88
2023,192,2.23,15.19,20.87,353.66,54.69,3.68,1.19,94.52,03.08
2023,193,2.3,11.91,18.32,340.82,48.06,3.98,1.15,94.29,2.5
2023,194,1.44,9.45,17.62,345.77,40.75,2.55,0.9,94.31,1.91
2023,195,1.27,10.36,18.55,338.51,42.56,2.12,0.69,94.3,1.64
2023,196,1.98,10.43,18.3,358.41,39.88,3.72,0.87,94.35,1.73
2023,197,3.17,13.38,20.29,378.84,47.94,4.25,2.11,94.58,2.38
2023,198,2.94,12.96,18.15,356.92,52.38,4.34,1.55,94.69,2.23
2023,199,2.84,11.47,17.87,343.73,48.69,4.56,1.31,94.86,2.3
2023,200,03.08,09.03,16.27,333.22,44.38,5.48,1.32,94.97,1.44
2023,201,3.88,10.7,15.84,330.41,50.19,6.21,2.33,94.96,1.27
2023,202,3.82,13.69,15.78,352.51,60.25,5.91,1.82,94.93,1.98
2023,203,3.98,14.78,16.79,382.92,60.12,5.81,2.21,94.89,3.17
2023,204,3.62,14.6,19.03,384.03,57.5,4.86,2.3,94.94,2.94
2023,205,3.31,13.83,17.44,375.84,57.69,4.83,1.98,94.87,2.84
2023,206,2.39,13.51,18.75,345.33,53.31,3.77,0.76,94.7,03.08
2023,207,02.07,11.59,16.24,357.64,48.88,04.05,0.88,94.59,3.88
