,mes2,completo
0,1,27.136562
1,1,26.738674
2,1,27.147268
3,1,27.202969
4,1,27.138508
5,1,27.520945
6,1,27.445423
7,1,28.200886
8,1,28.88969
9,1,28.725168
10,2,27.506142
11,2,28.184803
12,2,27.739552
13,2,26.908749
14,2,27.090405
15,2,26.698387
16,2,27.07903
17,2,27.09427
18,2,27.08713
19,2,27.49775
20,3,27.354511
21,3,28.057728
22,3,28.813002
23,3,28.505398
24,3,27.413918
25,3,28.116999
26,3,27.644075
27,3,26.880281
28,3,27.143744
29,3,26.798803
30,4,27.200167
31,4,27.23649
32,4,27.079973
33,4,27.56566
34,4,27.49341
35,4,28.220438
36,4,28.903704
37,4,28.733612
38,4,27.568884
39,4,28.255331
40,5,27.778414
41,5,26.95136
42,5,27.174543
43,5,26.775192
44,5,27.130518
45,5,27.118877
46,5,27.146034
47,5,27.602226
48,5,27.410036
49,5,28.136229
50,6,28.930815
51,6,28.51347
52,6,27.444214
53,6,28.258657
54,6,27.802238
55,6,26.97586
56,6,27.209614
57,6,26.846409
58,6,27.254868
59,6,27.260193
60,7,27.156239
61,7,27.656336
62,7,27.542353
63,7,28.273148
64,7,28.990616
65,7,28.724552
66,7,27.604809
67,7,28.323645
68,7,27.801126
69,7,27.01276
70,8,27.180927
71,8,26.80362
72,8,27.251272
73,8,27.318668
74,8,27.150473
75,8,27.590296
76,8,27.569239
77,8,28.338379
78,8,28.986996
79,8,28.910278
80,9,27.642572
81,9,28.29139
82,9,27.839525
83,9,26.999355
84,9,27.130976
85,9,26.768166
86,9,27.185352
87,9,27.229618
88,9,27.096645
89,9,27.547972
90,10,27.477892
91,10,28.194967
92,10,28.883799
93,10,28.708149
94,10,27.55462
95,10,28.205044
96,10,27.72154
97,10,26.93897
98,10,27.156298
99,10,26.752392
100,11,27.125853
101,11,27.125992
102,11,27.13255
103,11,27.560387
104,11,27.410542
105,11,28.139965
106,11,28.916424
107,11,28.561024
108,11,27.464035
109,11,28.24519
110,12,27.749245
111,12,26.936075
112,12,27.18184
113,12,26.790878
114,12,27.149057
115,12,27.119423
116,12,27.15432
117,12,27.61172
118,12,27.413961
119,12,28.121273
120,13,28.919033
121,13,28.486488
122,13,27.460192
123,13,28.249332
124,13,27.728483
125,13,26.95486
126,13,27.175447
127,13,26.786121
128,13,27.142483
129,13,27.121885
130,14,27.1388
131,14,27.596764
132,14,27.415846
133,14,28.13339
134,14,28.92229
135,14,28.522411
136,14,27.463717
137,14,28.26262
138,14,27.766502
139,14,26.960297
